Arrangement Number,Country Name,Country Code,Arrangement Type,Approval Date,Approval Year,Initial End date,Initial End Year,Duration Of Annual Arrangement From,Duration Of Annual Arrangement To,Program Type,Review Type,Review Sequence,Doc. Num,Facilitycode,Inipgmyr,Fycy,Totalaccess,Precautionary,Purchase,Purchaseschedule,Setaside,Comments,Sort
1,ALBANIA                            ,914,ESAF ,7/14/1993,1993,7/13/1994,1994,7/14/1993,7/13/1994,P1,OldBoardApproval,E,EBS/93/93,CCFF,1993,CY,42.36,NULL,Yes,Original,NULL, ,-1
1,ALBANIA                            ,914,ESAF ,7/14/1993,1993,7/13/1996,1996,7/14/1993,7/13/1994,P1,OC  ,L,EBS /94/168,NO FACILITY,1993,CY,42.36,NULL,Yes,Original,NULL,NULL,0
1,ALBANIA                            ,914,ESAF ,7/14/1993,1993,7/13/1996,1996,7/14/1993,7/13/1994,P1,R1  ,BLANK,EBS/94/39,NO FACILITY,1993,CY,42.36,NULL,Yes,Original,NULL,NULL,1
272,ALBANIA                            ,914,ESAF ,5/12/1998,1998,5/11/2001,2001,5/12/1998,5/11/1999,P1,OldBoardApproval,E,EBS/98/77,NO FACILITY,1998,CY,35.3,NULL,Yes,Original,NULL,NULL,-1
272,ALBANIA                            ,914,ESAF ,5/12/1998,1998,5/11/2001,2001,5/12/1998,5/11/1999,P1,R1  ,L,EBS/99/2,NO FACILITY,1998,CY,35.3,NULL,Yes,Revised ,NULL,,1
316,ALBANIA                            ,914,ESAF ,5/12/1998,1998,5/11/2001,2001,6/14/1999,6/13/2000,P2,OldBoardApproval,E,EBS/99/84,NO FACILITY,1999,CY,45.05,NULL,Yes,Revised ,NULL,Revision of purchases occurred when ESAF architecture were changed.  Access was augmented with approval of 2nd annual arrangement by SDR 9.75 mn.,-1
316,ALBANIA                            ,914,ESAF ,5/12/1998,1998,5/11/2001,2001,6/14/1999,6/13/2000,P2,R1  ,BLANK,EBS/00/1,NO FACILITY,1999,CY,45.05,NULL,Yes,Revised ,NULL,Revision of purchases occurred when ESAF architecture were changed.  Access was augmented with approval of 2nd annual arrangement by SDR 9.75 mn.,1
316,ALBANIA                            ,914,ESAF ,5/12/1998,1998,5/11/2001,2001,6/14/1999,6/13/2000,P2,R2  ,L,EBS/00/92,NO FACILITY,1999,CY,45.05,NULL,Yes,Revised ,NULL,Revision of purchases occurred when ESAF architecture were changed.  Access was augmented with approval of 2nd annual arrangement by SDR 9.75 mn.,2
406,ALBANIA                            ,914,PRGF ,5/12/1998,1998,7/31/2001,2001,6/30/2000,7/31/2001,P3,OldBoardApproval,E,EBS/00/92,NO FACILITY,2000,CY,45.05,NULL,Yes,Revised ,NULL,"Request for the third year arrangement under the three-year PRGF and extension of commitment period from 5/12/ 2001 to 7/31/2001, to allow time for the final disbursement, refer to the Staff Report  EBS/00/111. Conditionalities and macro tables for the third year arrangmenet refer to the MEFP and MOU, attachments I and II, respectively, to the Staff Report EBS/00/92.",-1
406,ALBANIA                            ,914,PRGF ,5/12/1998,1998,7/31/2001,2001,6/30/2000,7/31/2001,P3,R1  ,BLANK,EBS/01/4,NO FACILITY,2000,CY,45.05,NULL,Yes,Revised ,NULL,"Request for the third year arrangement under the three-year PRGF and extension of commitment period from 5/12/ 2001 to 7/31/2001, to allow time for the final disbursement, refer to the Staff Report  EBS/00/111. Conditionalities and macro tables for the third year arrangmenet refer to the MEFP and MOU, attachments I and II, respectively, to the Staff Report EBS/00/92.",1
